F,phi_norm,a,c,C**2,a**2,a/t,a/c,ac/t,a/(c**2),a/(t**2),(a**2)/c,(a**2)/t,sin(a/t),cos(a/t),act,c**3,a**3,(c**3 * t)/a,(a**2 * c)/t,a * (c**2),tan(a/t),pn/a,pn/t,pn/c,(a**2+c**2)**.5,c**2+a**2
1.134135759,0.832678621,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,5.551190807,1.110238161,27.75595403,0.1529705854,0.0234
1.129796049,0.814626447,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,5.43084298,1.086168596,27.1542149,0.1529705854,0.0234
1.125374196,0.796431318,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,5.30954212,1.061908424,26.5477106,0.1529705854,0.0234
1.119290608,0.778074847,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,5.187165647,1.037433129,25.93582823,0.1529705854,0.0234
1.112588377,0.75953722,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,5.063581467,1.012716293,25.31790733,0.1529705854,0.0234
1.105847657,0.740796946,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,4.938646307,0.9877292613,24.69323153,0.1529705854,0.0234
1.098077027,0.72183055,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,4.812203667,0.9624407333,24.06101833,0.1529705854,0.0234
1.090149905,0.702612208,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,4.684081387,0.9368162773,23.42040693,0.1529705854,0.0234
1.083013273,0.683113307,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,4.554088713,0.9108177427,22.77044357,0.1529705854,0.0234
1.075077703,0.663301195,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,4.422007967,0.8844015933,22.11003983,0.1529705854,0.0234
1.06575064,0.643140153,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,4.28760102,0.857520204,21.4380051,0.1529705854,0.0234
1.055343621,0.622590335,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,4.150602233,0.8301204467,20.75301117,0.1529705854,0.0234
1.044218487,0.601604982,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,4.01069988,0.802139976,20.0534994,0.1529705854,0.0234
1.031190091,0.580129973,0.15,0.03,0.0009,0.0225,0.2,0.03,0.006,166.6666667,0.266666667,0.75,0.03,0.198669331,0.980066578,0.003375,0.000027,0.003375,0.000135,0.0009,0.000135,0.2027100357,3.867533153,0.7735066307,19.33766577,0.1529705854,0.0234
